Date,Description,Amount
2026-01-25,UBER TRIP #AB123,-18.50
2026-01-24,WHOLE FOODS MARKET,-127.89
2026-01-24,NETFLIX SUBSCRIPTION,-15.99
2026-01-23,SHELL GAS STATION,-65.00
2026-01-22,AMAZON PRIME VIDEO,-8.99
2026-01-22,CVS PHARMACY,-34.50
2026-01-21,STARBUCKS COFFEE,-5.75
2026-01-21,SPOTIFY PREMIUM,-10.99
2026-01-20,AMC THEATERS,-28.00
2026-01-20,CHIPOTLE MEXICAN GRILL,-15.30
2026-01-19,LYFT RIDE,-22.45
2026-01-19,TARGET STORES,-89.99
2026-01-18,MONTHLY SALARY,4500.00
2026-01-17,PLANET FITNESS,-10.00
2026-01-17,DOMINOS PIZZA,-25.99
2026-01-16,ELECTRIC COMPANY BILL,-145.00
2026-01-15,TRADER JOES,-67.34
2026-01-15,APPLE ICLOUD STORAGE,-2.99
2026-01-14,UBER EATS ORDER,-32.50
2026-01-13,CHEVRON GAS STATION,-58.00
2026-01-12,BEST BUY ELECTRONICS,-299.99
2026-01-11,INTERNET SERVICE,-79.99
2026-01-10,LA FITNESS,-44.99
2026-01-09,MCDONALDS,-12.45
2026-01-08,INSURANCE PREMIUM,-125.00
